0;-0,185
1;-0,215
2;-0,215
3;-0,245
4;-0,205
5;-0,195
6;-0,155
7;-0,165
8;-0,165
9;-0,175
10;-0,215
11;-0,185
12;-0,165
13;-0,165
14;-0,165
15;-0,145
16;-0,155
17;-0,185
18;-0,215
19;-0,175
20;-0,165
21;-0,155
22;-0,155
23;-0,155
24;-0,165
25;-0,185
26;-0,165
27;-0,175
28;-0,185
29;-0,165
30;-0,155
31;-0,165
32;-0,165
33;-0,165
34;-0,165
35;-0,155
36;-0,175
37;-0,185
38;-0,165
39;-0,175
40;-0,155
41;-0,185
42;-0,165
43;-0,165
44;-0,175
45;-0,175
46;-0,175
47;-0,175
48;-0,165
49;-0,175
50;-0,185
51;-0,165
52;-0,175
53;-0,145
54;-0,155
55;-0,145
56;-0,105
57;-0,065
58;-0,055
59;-0,035
60;0,025
61;0,045
62;0,025
63;0,025
64;-0,035
65;-0,095
66;-0,125
67;-0,125
68;-0,105
69;-0,105
70;-0,105
71;-0,065
72;-0,035
73;0,305
74;0,865
75;1,005
76;0,055
77;-0,395
78;-0,325
79;-0,105
80;-0,055
81;-0,065
82;-0,065
83;-0,075
84;-0,055
85;-0,055
86;-0,065
87;-0,045
88;-0,035
89;-0,055
90;-0,045
91;-0,045
92;-0,025
93;-0,025
94;-0,015
95;-0,025
96;-0,015
97;0,005
98;0,015
99;0,035
100;0,035
101;0,055
102;0,085
103;0,115
104;0,115
105;0,145
106;0,165
107;0,175
108;0,195
109;0,225
110;0,225
111;0,235
112;0,215
113;0,185
114;0,145
115;0,085
116;0,025
117;-0,025
118;-0,075
119;-0,105
120;-0,145
121;-0,145
122;-0,155
123;-0,165
124;-0,175
125;-0,175
126;-0,155
127;-0,145
128;-0,145
129;-0,165
130;-0,145
131;-0,145
132;-0,135
133;-0,135
134;-0,145
135;-0,145
136;-0,145
137;-0,155
138;-0,155
139;-0,185
140;-0,175
141;-0,165
142;-0,165
143;-0,185
144;-0,165
145;-0,185
146;-0,165
147;-0,175
148;-0,185
149;-0,185
150;-0,195
151;-0,185
152;-0,185
153;-0,175
154;-0,185
155;-0,205
156;-0,175
157;-0,185
158;-0,185
159;-0,155
160;-0,175
161;-0,185
